Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule
DSAI,5,B1-CS458,Natural Language Processing,3.0,1.0,0.0,0.0,4.0,Dr. Krishnendu,
DSAI,5,B1-NEW,Deep Speech Processing,3.0,1.0,0.0,0.0,4.0,Prof. SRM Prasanna,
DSAI,5,B2-CS455,Blockchain Technology,3.0,0.0,0.0,4.0,4.0,Dr. Rajendra H,Yes
DSAI,5,B2-EC361,Introduction to 5G Network,3.0,1.0,0.0,0.0,4.0,Dr. Jagadeesha R Bhat,
DSAI,5,B2-NEW,Model Checking,3.0,0.0,0.0,4.0,4.0,Dr. Pavan,
DSAI,5,B2-NEW,Quantum Communication,3.0,0.0,0.0,0.0,3.0,Dr. Aswath B,
DSAI,5,B2-NEW,Quantum HPC and AI,1.0,0.0,0.0,0.0,1.0,Dr. Manish M (Dr. Aswath),
DSAI,5,B2-NEW,Design Thinking and Innovation,3.0,1.0,0.0,0.0,4.0,Dr. Sandesh P,
ECE,1,MA162,Probability ,3.0,1.0,0.0,0.0,2.0,Dr.Chinmmayananda,Yes
ECE,1,EC161,Digital Design,3.0,0.0,2.0,0.0,3.0,Dr.Prakash Pawar,Yes
ECE,1,CS161,Problem solving with Programming,2.0,1.0,0.0,2.0,3.0,Dr.Animesh Roy,Yes
ECE,1,B1-PH151 / B1-DS151 / B1-HS157,Introduction to Quantum Physiscs /Linux for Engineers /Hindustani Music,3.0,1.0,0.0,0.0,0.0,Prof.RaviShankar / Dr.Vivekraj / Dr.Chandrika Kamat,Yes
ECE,1,CS151,Introdution to CyS,3.0,1.0,0.0,0.0,0.0,Dr.Girish Revadigar,Yes
ECE,3,MA208,Probability and Random Processes,3.0,1.0,0.0,0.0,4.0,Dr. Rajib Sharma/ Rajesh Kumar ,Yes
ECE,3,EC205,Control Systems,3.0,0.0,2.0,0.0,4.0,Dr. Pankaj Kumar,Yes
ECE,3,EC310,Embedded Systems Design,3.0,1.0,0.0,0.0,4.0,Dr. Prakash Pawar,Yes
ECE,3,EC204,Analog and Digital Communication,3.0,1.0,2.0,0.0,5.0,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Yes
ECE,3,HS204,Economics,3.0,1.0,0.0,0.0,4.0,Dr. Anushree Kini,Yes
ECE,3,HS205,Ethics,3.0,0.0,0.0,0.0,3.0,Dr. Jolly Thomas IIT Dharwad,Yes
ECE,5,CS307,Wireless Communication,3.0,0.0,0.0,4.0,4.0,Dr. Rajib Sharma/ Dr. Rao (Lab),Yes
ECE,5,B1-CS464,Deep Learning for Computer Vision ,3.0,1.0,0.0,0.0,4.0,Dr. Chinmayanand,Yes
ECE,5,B1-NEW,Large Languange Models,3.0,0.0,0.0,4.0,4.0,Dr. Sunil S,
ECE,5,B1-CS458,Natural Language Processing,3.0,1.0,0.0,0.0,4.0,Dr. Krishnendu,
ECE,5,B1,CMOS RF Circuit Design,,,,,,Dr. Rajesh Kumar,
ECE,5,B1-NEW,Deep Speech Processing,3.0,1.0,0.0,0.0,4.0,Prof. SRM Prasanna,
ECE,5,B2-CS455,Blockchain Technology,3.0,0.0,0.0,4.0,4.0,Dr. Rajendra H,
ECE,5,B2-EC361,Introduction to 5G Network,3.0,1.0,0.0,0.0,4.0,Dr. Jagadeesha R Bhat,
ECE,5,B2,Model Checking,3.0,0.0,0.0,4.0,4.0,Dr. Pavan,
ECE,5,B2,Quantum Communication,3.0,0.0,0.0,0.0,3.0,Dr. Aswath B,
ECE,5,B2,Quantum HPC and AI,1.0,0.0,0.0,0.0,1.0,Dr. Manish M (Dr. Aswath),
ECE,5,B2-NEW,Design Thinking and Innovation,3.0,1.0,0.0,0.0,4.0,Dr. Sandesh P,
ECE,5,B3,Computer Graphics,3.0,1.0,0.0,0.0,4.0,Dr. Vivekraj V K,
ECE,5,B3-CS307,Machine Learning,3.0,1.0,0.0,0.0,4.0,Dr. Deepak K T,
ECE,5,B3,Virtualization & Cloud Computing,,,,,,Dr. Malay,
ECE,5,B4,Data Analytics & Visualization,3.0,1.0,0.0,0.0,4.0,Dr. Sunil C K ,
ECE,5, B4-DS351,Statistics for Health Technology,3.0,1.0,0.0,0.0,4.0,Dr. Ramesh Athe,
ECE,5,B4,Medical Image Analysis,2.0,0.0,2.0,4.0,4.0,Dr. Girish G N,
ECE,5,B4-CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,
ECE,5,B3,Automotive Embedded and Multimedia Systems/Microwave Engineering/Computer Graphics/Machine learning/Virtualization and Cloud Computing,3.0,1.0,0.0,0.0,4.0,Mr. Jagadeesh K (Dr Sibasankar Padhy)/Dr. Somen/Dr. Vivekraj V K/Dr. Deepak KT/Dr Malay,Yes
ECE,5,Mini Project 1,Mini Project 1,0.0,0.0,0.0,8.0,2.0,Dr. Pankaj Kumar,Yes
ECE,7,EC499,Major Project,0.0,0.0,0.0,32.0,8.0,Dr. Rajesh Kumar,Yes
